id,champion1_team1,champion2_team1,champion3_1,champion4_team1,champion5_team1,champion1_team2,champion2_team2,champion3_team2,champion4_team2,champion5_team2,winner
0,Aatrox,Jinx,Kai'Sa,Kennen,Twitch,Alistar,Ezreal,Galio,Nasus,Ryze,team1
1,Fizz,Jinx,Kha'Zix,Twitch,Yuumi,Alistar,Ezreal,Galio,Nasus,Ryze,team1
2,Jinx,Kai'Sa,Kha'Zix,Twitch,Varus,Alistar,Ezreal,Galio,Nasus,Ryze,team1
3,Diana,Kai'Sa,Morgana,Nocturne,Twitch,Alistar,Ezreal,Galio,Nasus,Ryze,team1
4,Ezreal,Kayle,Sona,Tristana,Twitch,Alistar,Ezreal,Galio,Nasus,Ryze,team1
5,Jinx,Kai'Sa,Sona,Twitch,Xin Zhao,Alistar,Ezreal,Galio,Nasus,Ryze,team1
6,Jinx,Tryndamere,Veigar,Yasuo,Zoe,Alistar,Ezreal,Galio,Nasus,Ryze,team1
7,Ezreal,Jinx,Miss Fortune,Tristana,Veigar,Alistar,Ezreal,Galio,Nasus,Ryze,team1
8,Aatrox,Miss Fortune,Sivir,Twitch,Zoe,Alistar,Ezreal,Galio,Nasus,Ryze,team1
9,Nocturne,Sona,Tristana,Urgot,Vladimir,Bard,Jax,Miss Fortune,Volibear,Zed,team1
10,Garen,Kai'Sa,Morgana,Syndra,Twitch,Akali,Ashe,Leona,Sylas,Teemo,team2
11,Katarina,Nasus,Rengar,Thresh,Vayne,Azir,Draven,Garen,Hecarim,Lux,team2
12,Caitlyn,Qiyana,Sejuani,Shen,Vel'Koz,Jarvan IV,Nasus,Vayne,Veigar,Zed,team1
13,Blitzcrank,Garen,Jinx,Lux,Sejuani,Dr. Mundo,Jarvan IV,Jhin,Katarina,Lulu,team1
14,Irelia,Jinx,Shen,Thresh,Udyr,Ezreal,Graves,Leona,Nasus,Vladimir,team2
15,Jarvan IV,Miss Fortune,Mordekaiser,Nautilus,Yasuo,Brand,Garen,Maokai,Tristana,Trundle,team2
16,Karthus,Kog'Maw,Lulu,Volibear,Yone,Annie,Ashe,Diana,Garen,Pyke,team2
17,Ashe,Ekko,Kayle,Mordekaiser,Nami,Ashe,Lillia,Pyke,Singed,Ziggs,team1
18,Bard,Hecarim,Illaoi,Lucian,Veigar,Ashe,Irelia,Nami,Syndra,Warwick,team2
19,Ekko,Kennen,Miss Fortune,Pyke,Yasuo,Garen,Kayle,Kayn,Kindred,Xayah,team2
